baseid	url	file_name	acl	state	version	storageclass	deletereason	release	project_id	type	id	md5	size
efb89e29-3ec4-4146-bb0b-c5f3d29efd25	s3://s3-external-1.amazonaws.com/gdcbackup/9e3c7819-fce6-4ad5-84f7-89347e625435	TCGA-VS-AA62-01Z-00-DX1.8DC8A4E5-7999-4CAC-ABBA-CDD2B7CA409F.svs	[u'open']	released	1	GLACIER		12.0	TCGA-CESC	active	a709c93d-3f80-49a9-b3ef-b228fdce221b	ccef0bdabca5a982dd946709d259dd97	96739033
39fe6eab-91cf-486c-a8d3-998a5d21e7d4	s3://s3-external-1.amazonaws.com/gdcbackup/f06df06d-3f5a-441e-b7da-57990cc6f52a	TCGA-A6-5659-01Z-00-DX1.c671806f-013e-4d99-9841-cda5bd43eff1.svs	[u'open']	released	1	GLACIER		12.0	TCGA-COAD	active	4a5c4081-fea4-4ff3-925b-c2de6dfc14df	ddf88fe69cc34299751c4199a0ca381d	97034187
b3b5785b-ad9f-4ef9-877b-656c3c552ccb	s3://s3-external-1.amazonaws.com/gdcbackup/64ed1f94-1623-4f1c-9e4e-cd8360405ef7	TCGA-06-0187-01Z-00-DX2.87f7b94d-c9d3-4ed3-9bb3-2e37d810e2ea.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	3f678bd9-cb92-4ae5-bd3f-1501e9817c9d	09d058f437d9578080da48592e19b181	97097609
8a555dbf-39a4-4c36-b1a2-60d6bf0ed9b1	s3://s3-external-1.amazonaws.com/gdcbackup/3e249583-407e-4121-907a-dfef51f4c8ee	TCGA-12-0692-01Z-00-DX5.15cf8c37-6ecd-4926-8e2d-473be7b1a16c.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	824aa917-c16c-4c6d-9cdc-c4807053ef57	062e2a2aa7aabbe62854a64422d71497	97131715
28cdd73c-3001-4e89-84f4-a74f292fe4e6	s3://s3-external-1.amazonaws.com/gdcbackup/bca3507a-8e39-4cf7-80a3-609ede202d49	TCGA-DU-7008-01Z-00-DX1.C4A4B091-9F79-4B12-AACE-521CF12DFF1C.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LGG	active	48a0c10b-8f11-4ff3-a443-ea435bea0b4a	45c344c98d0dc553fb408e9a9dddb8df	97209838
44aa749e-7900-4fb2-b3fa-f705a8870193	s3://s3-external-1.amazonaws.com/gdcbackup/e0c63075-00e5-4559-80eb-7a39c24aed8d	TCGA-VS-A9UP-01Z-00-DX1.D5A56C98-7E32-47B5-B918-98A5D730C276.svs	[u'open']	released	1	GLACIER		12.0	TCGA-CESC	active	02064e2b-0e9f-4b98-b7c7-9815ab0469f0	373d6b06eef115bc7831b2d64749a4a9	97406449
b96b6eff-2837-4207-9f47-259511e6f846	s3://s3-external-1.amazonaws.com/gdcbackup/83af6b97-4459-4710-bf36-505c966dfa8e	TCGA-06-0129-01Z-00-DX3.bae772ea-dd36-47ec-8185-761989be3cc8.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	a03f0948-a689-4da6-a765-c50c89033704	b49c9f2a0cd42c705dba2ed965cad8f1	97509357
ea7a1c5b-c51b-4b4c-9ba1-bd0fa5f2fb8d	s3://s3-external-1.amazonaws.com/gdcbackup/6501dd43-171c-4e6d-a589-1cece01040de	TCGA-14-1823-01Z-00-DX4.2c0b643d-e181-40f7-a6b2-cab517151f85.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	83f56305-dcee-4f89-9c0a-b3235d1658fb	e08657f7927b196e250567a9e9fae42a	97510891
5b8a5ed9-b1dd-4ff4-8d87-a7de925e218a	s3://s3-external-1.amazonaws.com/gdcbackup/be784dff-4461-4471-bc0d-103eb99dc5b1	TCGA-86-8671-01Z-00-DX1.1fd0019c-df9d-48cc-9055-8de57759f273.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LUAD	active	2147a68a-e4d4-420e-ba24-697e90253047	2b4112ffd968560c78489029ed91eb72	97667627
85e2030c-4425-4bb8-84b8-32e4d844659a	s3://s3-external-1.amazonaws.com/gdcbackup/878cba8f-7078-4133-b588-936ef26e29f9	TCGA-06-0143-01Z-00-DX3.e9011249-11f6-454b-98f1-7f2bcfea228c.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	a5569afb-0468-4b15-854f-d34a31344cc1	d46b53aa103783340af61050064a1777	97693509
